uid,等级,渠道,ip地址
1008026,1,mnwwest,"177.191.58.114, 52.46.43.135"
1009626,1,mnwwest,"189.249.134.43, 15.158.29.116"
1010526,1,mnwwest,"187.211.167.33, 130.176.174.16"
1010626,1,mnwwest,"75.143.233.197, 130.176.210.11"
1011026,1,mnwwest,"172.58.128.147, 70.132.58.138"
1000327,1,mnwwest,"177.125.117.64, 130.176.164.14"
1000627,1,mnwwest,"174.208.168.175, 64.252.173.10"
1001127,1,mnwwest,"78.151.32.151, 130.176.222.126"
1004027,1,mnwwest,"86.22.96.16, 70.132.49.69"
1004127,1,mnwwest,"187.136.125.211, 70.132.6.160"
1005727,1,mnwwest,"191.40.93.125, 15.158.19.167"
1008227,1,mnwwest,"186.148.80.182, 130.176.220.53"
1001228,1,mnwwest,"136.158.42.53, 130.176.93.139"
1001728,1,mnwwest,"131.255.70.49, 130.176.40.100"
1010928,1,mnwwest,"187.190.176.56, 70.132.6.96"
1011128,1,mnwwest,"122.2.101.57, 130.176.93.134"
1000229,1,mnwwest,"177.145.8.2, 130.176.164.137"
1002329,1,mnwwest,"136.158.124.179, 130.176.25.14"
1003529,1,mnwwest,"45.71.106.226, 15.158.19.146"
1003629,1,mnwwest,"168.196.91.237, 52.46.43.172"
1003929,1,mnwwest,"179.240.29.10, 15.158.8.136"
1004229,1,mnwwest,"24.142.27.174, 64.252.140.140"
1006229,1,mnwwest,"213.60.240.91, 15.158.55.118"
1006529,1,mnwwest,"186.22.238.115, 130.176.220.47"
1006629,1,mnwwest,"177.136.34.12, 15.158.19.167"
1007629,1,mnwwest,"24.241.239.231, 130.176.50.101"
1008629,1,mnwwest,"177.35.204.34, 130.176.40.139"
1010229,1,mnwwest,"45.227.59.46, 15.158.19.133"
1001930,1,mnwwest,"181.216.51.172, 130.176.40.157"
1003030,1,mnwwest,"177.244.231.89, 15.158.29.119"
1003230,1,mnwwest,"45.6.36.137, 52.46.43.172"
1004730,1,mnwwest,"191.82.225.27, 15.158.19.133"
1005330,1,mnwwest,"180.195.201.208, 130.176.93.13"
1006430,1,mnwwest,"73.228.173.23, 15.158.2.4"
1007730,1,mnwwest,"216.252.221.0, 70.132.9.101"
1009530,1,mnwwest,"166.196.107.48, 15.158.2.9"
1000731,1,mnwwest,"112.206.251.51, 130.176.93.150"
1001631,1,mnwwest,"138.97.219.31, 15.158.19.167"
1002031,1,mnwwest,"175.35.222.174, 130.176.212.10"
1003431,1,mnwwest,"174.203.113.121, 15.158.35.165"
1003631,1,mnwwest,"186.13.96.38, 130.176.220.37"
1009231,1,mnwwest,"177.93.242.54, 52.46.43.110"
1010531,1,mnwwest,"189.104.226.143, 15.158.19.146"
1001032,1,mnwwest,"180.195.51.118, 130.176.93.134"
1006532,1,mnwwest,"2.126.40.76, 64.252.166.161"
1006832,1,mnwwest,"186.224.129.250, 130.176.164.1"
1006932,1,mnwwest,"49.149.93.228, 130.176.187.107"
1007232,1,mnwwest,"49.150.106.194, 130.176.93.161"
1008332,1,mnwwest,"190.188.24.61, 130.176.220.46"
1009932,1,mnwwest,"187.86.175.102, 15.158.8.136"
1010432,1,mnwwest,"177.226.235.125, 15.158.29.74"
1011232,1,mnwwest,"77.98.193.18, 130.176.222.69"
1000533,1,mnwwest,"47.40.123.251, 15.158.4.39"
